GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            60.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.0 m
 State noise velocity: 0.0000 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 53560.0  -3345185.4 -5433677.9 -3185264.7   16.5   23.0   68.1  0.454  0.022  0.077    6.9    0.5    2.0
 53860.0  -2091956.3 -4790421.3 -4851232.0   67.8   23.0   69.5  0.766  0.022  0.079    3.3    0.5    4.7
 54160.0   -597717.8 -3740301.2 -6040913.8  104.8   22.9   76.6  0.900  0.022  0.081   14.1    0.5    0.7
 54460.0   1007181.3 -2393767.4 -6638089.2   42.1   22.8   81.5  0.413  0.022  0.087    7.1    0.5    4.6
 54760.0   2576502.1  -883614.5 -6584194.9   57.2   22.7   84.5  0.263  0.022  0.090   38.6    0.5    1.0
 55060.0   3961156.3   648002.0 -5883762.2   25.5   22.6   88.3  0.239  0.022  0.094   49.3    0.6    4.9
 55360.0   5023168.4  2062700.9 -4604285.1   38.7   22.5   93.5  0.396  0.022  0.096   51.1    0.6    1.7
 55660.0   5649549.6  3238245.6 -2870404.0   70.2   22.5   98.7  0.439  0.022  0.101   24.5    0.6    3.1
 55960.0   5764794.4  4079248.8  -852465.6   46.0   22.5  101.9  0.414  0.022  0.101   13.0    0.5    6.3
 56260.0   5340396.3  4525198.0  1249984.0   22.2   22.5  104.9  0.437  0.022  0.098    4.8    0.5    3.6
 56560.0   4399837.4  4554807.2  3228281.2   39.1   22.5  106.7  0.302  0.022  0.100    5.7    0.5    0.3
 56860.0   3018074.8  4186165.8  4886031.8  161.5   22.5  108.7  5.744  0.022  0.100    1.8    0.5    2.0
 57160.0   1315382.6  3472732.6  6059155.1   53.4   22.3  107.3  0.216  0.022  0.101   26.5    0.5    4.9
 57460.0   -553675.3  2495945.9  6632197.2   53.7   22.2  102.2  0.383  0.022  0.094   22.1    0.5    1.1
 57760.0  -2414733.3  1355674.8  6549337.3   20.4   22.1   96.5  0.219  0.022  0.090    0.9    0.5    3.5
 58060.0  -4090079.9   159791.2  5819420.5   48.1   22.0   88.2  0.726  0.022  0.087   14.5    0.5    1.2
 58360.0  -5415710.9  -986103.4  4514873.3   28.3   21.9   79.2  0.524  0.022  0.083    4.4    0.5    2.3
 58660.0  -6257563.0 -1987931.9  2764626.9   79.1   22.0   70.9  0.352  0.022  0.081    6.7    0.5    3.3
 58960.0  -6525385.0 -2770720.4   741534.7   13.4   22.0   64.8  0.286  0.022  0.081    3.3    0.5    2.4
 59260.0  -6182702.5 -3283893.4 -1354718.5   82.0   22.1   60.7  0.389  0.022  0.078   33.6    0.5    0.5
 59560.0  -5251499.0 -3503847.1 -3317595.8   37.0   22.2   59.1  0.102  0.022  0.077   60.2    0.5    3.0
 59860.0  -3810878.9 -3433649.2 -4954306.0   80.9   22.2   63.6  0.564  0.022  0.077   90.3    0.5    2.1
 60160.0  -1989950.7 -3100138.8 -6104650.5   14.8   22.1   68.2  0.400  0.022  0.079   99.2    0.5    0.4
 60460.0     44114.9 -2549108.2 -6656257.1   55.0   22.0   73.5  0.542  0.022  0.086   72.9    0.5    1.2
 60760.0   2101454.2 -1839381.3 -6554976.5   31.6   21.9   80.9  0.114  0.022  0.088   40.1    0.5    1.4
 61060.0   3986927.8 -1036602.2 -5809931.0   38.8   21.8   87.2  1.004  0.022  0.092   16.3    0.5    2.3
 61360.0   5518374.8  -207313.6 -4492986.3   78.6   21.7   93.3  5.801  0.022  0.095   25.3    0.5    1.3
 61660.0   6544343.4   586293.4 -2732519.6  121.6   21.7   98.0  0.536  0.022  0.099   19.7    0.5    2.6
 61960.0   6959731.6  1290694.3  -701579.4   53.5   21.7  104.2  0.314  0.022  0.103   33.3    0.5    0.6
 62260.0   6717463.3  1864132.3  1398916.3  121.3   21.8  107.2  0.658  0.021  0.103   16.3    0.5    3.8
 62560.0   5834412.4  2278366.3  3360463.1   99.6   21.8  109.7  0.880  0.021  0.100    0.7    0.5    1.8
