Exercise 4-3: Step size control of DE multistep method

  Step       t           h          r 
  763   19.606698    0.023513     1.075
  764   19.630211    0.023513     1.094
  765   19.653723    0.023513     1.113
  766   19.677236    0.023513     1.132
  767   19.700749    0.023513     1.150
  768   19.747775    0.047026     1.186
  769   19.794801    0.047026     1.220
  770   19.841827    0.047026     1.253
  771   19.888853    0.047026     1.285
  772   19.935879    0.047026     1.316
  773   19.982904    0.047026     1.345
  774   20.029930    0.047026     1.374
