GPS/MET Real Time Orbit Determination

 Initial Epoch:           1996/10/01  00:05:29.000
 Inertial position:       -2915758.858    4622150.287   -4581931.300
 Inertial velocity:        -529.964911   -5411.837062   -5119.305700

 Gravity field order:  10
 Step size:            30.0 s
 Measurement sigma:    100.0 m
 A priori pos. sigma:  1000.0 m
 A priori vel. sigma:  10.0000 m/s
 State noise position: 0.5 m
 State noise velocity: 0.0005 m/s
 Edit level (sigma):   3.0


   Time      x(WGS)     y(WGS)     z(WGS)       Position [m]        Velocity [m/s]    Semi-major axis [m] 
    [s]        [m]        [m]        [m]     Meas. Sigma  Estim. Meas.  Sigma  Estim.  Meas. Sigma  Estim.
 56260.0   5340429.1  4525197.2  1249898.0   22.2   39.0   19.5  0.437  0.039  0.014    4.8    5.9    0.8
 56560.0   4399888.4  4554822.1  3228206.6   39.1   39.0   22.5  0.302  0.039  0.012    5.7    5.9    4.7
 56860.0   3018134.5  4186191.6  4885978.3  161.5   38.9   30.7  5.744  0.039  0.018    1.8    5.8    5.4
 57160.0   1315449.1  3472766.9  6059123.4   53.4   38.9   31.8  0.216  0.039  0.020   26.5    5.9    1.7
 57460.0   -553603.7  2495987.4  6632189.7   53.7   38.8   25.5  0.383  0.039  0.013   22.1    5.9    2.7
 57760.0  -2414666.5  1355717.2  6549354.7   20.4   38.7   21.2  0.219  0.039  0.014    0.9    5.9    0.2
 58060.0  -4090022.2   159832.4  5819462.4   48.1   38.7   14.6  0.726  0.039  0.019   14.5    5.9    5.4
 58360.0  -5415669.4  -986068.1  4514934.8   28.3   38.7   11.3  0.524  0.039  0.022    4.4    5.9    2.1
 58660.0  -6257542.7 -1987905.9  2764700.7   79.1   38.8   13.7  0.352  0.039  0.024    6.7    5.9    1.3
 58960.0  -6525387.0 -2770705.9   741610.7   13.4   38.8   15.6  0.286  0.039  0.023    3.3    5.9    2.0
 59260.0  -6182725.2 -3283889.9 -1354647.7   82.0   38.8   19.1  0.389  0.038  0.021   33.6    5.9    4.6
 59560.0  -5251541.9 -3503853.7 -3317534.8   37.0   38.8   24.3  0.102  0.038  0.018   60.2    5.9    1.3
 59860.0  -3810932.5 -3433663.6 -4954265.0   80.9   38.8   23.5  0.564  0.038  0.008   90.3    5.8    5.7
 60160.0  -1990013.7 -3100159.1 -6104629.5   14.8   38.7   23.9  0.400  0.038  0.004   99.2    5.9    3.0
 60460.0     44045.6 -2549133.2 -6656259.0   55.0   38.7   21.7  0.542  0.038  0.011   72.9    5.9    4.9
 60760.0   2101388.1 -1839407.9 -6555002.0   31.6   38.7   18.6  0.114  0.039  0.019   40.1    5.9    1.9
 61060.0   3986868.5 -1036630.0 -5809981.2   38.8   38.7   12.8  1.004  0.039  0.027   16.3    5.9    1.4
 61360.0   5518330.0  -207340.9 -4493060.1   78.6   38.7    6.6  5.801  0.039  0.029   25.3    5.9    5.5
 61660.0   6544320.5   586268.1 -2732612.1  121.6   38.8    7.4  0.536  0.039  0.028   19.7    5.9    2.1
 61960.0   6959736.7  1290674.8  -701678.2   53.5   38.8   13.9  0.314  0.039  0.022   33.3    5.9    5.3
 62260.0   6717497.7  1864118.5  1398818.1  121.3   38.8   17.7  0.658  0.039  0.020   16.3    5.9    1.3
 62560.0   5834474.8  2278359.5  3360377.1   99.6   38.8   22.8  0.880  0.039  0.016    0.7    5.9    7.3
